,id,title,tags
80,tt1355644,Passengers,"['A', 'malfunction', 'in', 'a', 'sleeping', 'pod', 'on', 'a', 'spacecraft', 'traveling', 'to', 'a', 'distant', 'colony', 'planet', 'wakes', 'one', 'passenger', '90', 'years', 'early.', 'JenniferLawrence', 'ChrisPratt', 'MichaelSheen', 'LaurenceFishburne', 'MortenTyldum']"
81,tt12361974,Zack Snyder's Justice League,"['Determined', 'to', 'ensure', 'that', ""Superman's"", 'ultimate', 'sacrifice', ""wasn't"", 'in', 'vain,', 'Bruce', 'Wayne', 'recruits', 'a', 'team', 'of', 'metahumans', 'to', 'protect', 'the', 'world', 'from', 'an', 'approaching', 'threat', 'of', 'catastrophic', 'proportions.', 'HenryCavill', 'BenAffleck', 'GalGadot', 'AmyAdams', 'ZackSnyder']"
83,tt1483013,Oblivion,"['A', 'veteran', 'assigned', 'to', 'extract', ""Earth's"", 'remaining', 'resources', 'begins', 'to', 'question', 'what', 'he', 'knows', 'about', 'his', 'mission', 'and', 'himself.', 'TomCruise', 'MorganFreeman', 'AndreaRiseborough', 'OlgaKurylenko', 'JosephKosinski']"
84,tt0246578,Donnie Darko,"['After', 'narrowly', 'escaping', 'a', 'bizarre', 'accident,', 'a', 'troubled', 'teenager', 'is', 'plagued', 'by', 'visions', 'of', 'a', 'man', 'in', 'a', 'large', 'rabbit', 'suit', 'who', 'manipulates', 'him', 'to', 'commit', 'a', 'series', 'of', 'crimes.', 'JakeGyllenhaal', 'JenaMalone', 'MaryMcDonnell', 'HolmesOsborne', 'RichardKelly']"
85,tt0062622,2001: A Space Odyssey,"['After', 'uncovering', 'a', 'mysterious', 'artifact', 'buried', 'beneath', 'the', 'Lunar', 'surface,', 'a', 'spacecraft', 'is', 'sent', 'to', 'Jupiter', 'to', 'find', 'its', 'origins', '-', 'a', 'spacecraft', 'manned', 'by', 'two', 'men', 'and', 'the', 'supercomputer', 'H.A.L.', '9000.', 'KeirDullea', 'GaryLockwood', 'WilliamSylvester', 'DanielRichter', 'StanleyKubrick']"
86,tt0075860,Close Encounters of the Third Kind,"['Roy', 'Neary,', 'an', 'Indiana', 'electric', 'lineman,', 'finds', 'his', 'quiet', 'and', 'ordinary', 'daily', 'life', 'turned', 'upside', 'down', 'after', 'a', 'close', 'encounter', 'with', 'a', 'UFO,', 'spurring', 'him', 'to', 'an', 'obsessed', 'cross-country', 'quest', 'for', 'answers', 'as', 'a', 'momentous', 'event', 'approaches.', 'RichardDreyfuss', 'FrançoisTruffaut', 'TeriGarr', 'MelindaDillon', 'StevenSpielberg']"
90,tt0770828,Man of Steel,"['An', 'alien', 'child', 'is', 'evacuated', 'from', 'his', 'dying', 'world', 'and', 'sent', 'to', 'Earth', 'to', 'live', 'among', 'humans.', 'His', 'peace', 'is', 'threatened', 'when', 'other', 'survivors', 'of', 'his', 'home', 'planet', 'invade', 'Earth.', 'HenryCavill', 'AmyAdams', 'MichaelShannon', 'DianeLane', 'ZackSnyder']"
92,tt2543164,Arrival,"['A', 'linguist', 'works', 'with', 'the', 'military', 'to', 'communicate', 'with', 'alien', 'lifeforms', 'after', 'twelve', 'mysterious', 'spacecrafts', 'appear', 'around', 'the', 'world.', 'AmyAdams', 'JeremyRenner', 'ForestWhitaker', 'MichaelStuhlbarg', 'DenisVilleneuve']"
93,tt3315342,Logan,"['In', 'a', 'future', 'where', 'mutants', 'are', 'nearly', 'extinct,', 'an', 'elderly', 'and', 'weary', 'Logan', 'leads', 'a', 'quiet', 'life.', 'But', 'when', 'Laura,', 'a', 'mutant', 'child', 'pursued', 'by', 'scientists,', 'comes', 'to', 'him', 'for', 'help,', 'he', 'must', 'get', 'her', 'to', 'safety.', 'HughJackman', 'PatrickStewart', 'DafneKeen', 'BoydHolbrook', 'JamesMangold']"
100,tt4513678,Ghostbusters: Afterlife,"['When', 'a', 'single', 'mom', 'and', 'her', 'two', 'kids', 'arrive', 'in', 'a', 'small', 'town,', 'they', 'begin', 'to', 'discover', 'their', 'connection', 'to', 'the', 'original', 'Ghostbusters', 'and', 'the', 'secret', 'legacy', 'their', 'grandfather', 'left', 'behind.', 'CarrieCoon', 'PaulRudd', 'FinnWolfhard', 'MckennaGrace', 'JasonReitman']"
101,tt3659388,The Martian,"['An', 'astronaut', 'becomes', 'stranded', 'on', 'Mars', 'after', 'his', 'team', 'assume', 'him', 'dead,', 'and', 'must', 'rely', 'on', 'his', 'ingenuity', 'to', 'find', 'a', 'way', 'to', 'signal', 'to', 'Earth', 'that', 'he', 'is', 'alive', 'and', 'can', 'survive', 'until', 'a', 'potential', 'rescue.', 'MattDamon', 'JessicaChastain', 'KristenWiig', 'KateMara', 'RidleyScott']"
103,tt0093870,RoboCop,"['In', 'a', 'dystopic', 'and', 'crime-ridden', 'Detroit,', 'a', 'terminally', 'wounded', 'cop', 'returns', 'to', 'the', 'force', 'as', 'a', 'powerful', 'cyborg', 'haunted', 'by', 'submerged', 'memories.', 'PeterWeller', 'NancyAllen', ""DanO'Herlihy"", 'RonnyCox', 'PaulVerhoeven']"
105,tt9376612,Shang-Chi and the Legend of the Ten Rings,"['Shang-Chi,', 'the', 'master', 'of', 'weaponry-based', 'Kung', 'Fu,', 'is', 'forced', 'to', 'confront', 'his', 'past', 'after', 'being', 'drawn', 'into', 'the', 'Ten', 'Rings', 'organization.', 'SimuLiu', 'Awkwafina', 'TonyChiu-WaiLeung', 'BenKingsley', 'DestinDanielCretton']"
109,tt0848228,The Avengers,"[""Earth's"", 'mightiest', 'heroes', 'must', 'come', 'together', 'and', 'learn', 'to', 'fight', 'as', 'a', 'team', 'if', 'they', 'are', 'going', 'to', 'stop', 'the', 'mischievous', 'Loki', 'and', 'his', 'alien', 'army', 'from', 'enslaving', 'humanity.', 'RobertDowneyJr.', 'ChrisEvans', 'ScarlettJohansson', 'JeremyRenner', 'JossWhedon']"
111,tt0418279,Transformers,"['An', 'ancient', 'struggle', 'between', 'two', 'Cybertronian', 'races,', 'the', 'heroic', 'Autobots', 'and', 'the', 'evil', 'Decepticons,', 'comes', 'to', 'Earth,', 'with', 'a', 'clue', 'to', 'the', 'ultimate', 'power', 'held', 'by', 'a', 'teenager.', 'ShiaLaBeouf', 'MeganFox', 'JoshDuhamel', 'TyreseGibson', 'MichaelBay']"
