,id,title,tags
92,tt0317248,City of God,"['In', 'the', 'slums', 'of', 'Rio,', 'two', ""kids'"", 'paths', 'diverge', 'as', 'one', 'struggles', 'to', 'become', 'a', 'photographer', 'and', 'the', 'other', 'a', 'kingpin.', 'AlexandreRodrigues', 'LeandroFirmino', 'MatheusNachtergaele', 'PhellipeHaagensen', 'FernandoMeirelles', 'KátiaLund']"
93,tt3460252,The Hateful Eight,"['In', 'the', 'dead', 'of', 'a', 'Wyoming', 'winter,', 'a', 'bounty', 'hunter', 'and', 'his', 'prisoner', 'find', 'shelter', 'in', 'a', 'cabin', 'currently', 'inhabited', 'by', 'a', 'collection', 'of', 'nefarious', 'characters.', 'SamuelL.Jackson', 'KurtRussell', 'JenniferJasonLeigh', 'WaltonGoggins', 'QuentinTarantino']"
95,tt0372784,Batman Begins,"['After', 'training', 'with', 'his', 'mentor,', 'Batman', 'begins', 'his', 'fight', 'to', 'free', 'crime-ridden', 'Gotham', 'City', 'from', 'corruption.', 'ChristianBale', 'MichaelCaine', 'KenWatanabe', 'LiamNeeson', 'ChristopherNolan']"
96,tt0455944,The Equalizer,"['A', 'man', 'who', 'believes', 'he', 'has', 'put', 'his', 'mysterious', 'past', 'behind', 'him', 'cannot', 'stand', 'idly', 'by', 'when', 'he', 'meets', 'a', 'young', 'girl', 'under', 'the', 'control', 'of', 'ultra-violent', 'Russian', 'gangsters.', 'DenzelWashington', 'MartonCsokas', 'ChloëGraceMoretz', 'DavidHarbour', 'AntoineFuqua']"
97,tt5362988,Wind River,"['A', 'veteran', 'hunter', 'helps', 'an', 'FBI', 'agent', 'investigate', 'the', 'murder', 'of', 'a', 'young', 'woman', 'on', 'a', 'Wyoming', 'Native', 'American', 'reservation.', 'ElizabethOlsen', 'JeremyRenner', 'GrahamGreene', 'KelseyAsbille', 'TaylorSheridan']"
98,tt7740496,Nightmare Alley,"['A', 'grifter', 'working', 'his', 'way', 'up', 'from', 'low-ranking', 'carnival', 'worker', 'to', 'lauded', 'psychic', 'medium', 'matches', 'wits', 'with', 'a', 'psychologist', 'bent', 'on', 'exposing', 'him.', 'BradleyCooper', 'CateBlanchett', 'ToniCollette', 'WillemDafoe', 'GuillermodelToro']"
102,tt0093870,RoboCop,"['In', 'a', 'dystopic', 'and', 'crime-ridden', 'Detroit,', 'a', 'terminally', 'wounded', 'cop', 'returns', 'to', 'the', 'force', 'as', 'a', 'powerful', 'cyborg', 'haunted', 'by', 'submerged', 'memories.', 'PeterWeller', 'NancyAllen', ""DanO'Herlihy"", 'RonnyCox', 'PaulVerhoeven']"
103,tt1232829,21 Jump Street,"['A', 'pair', 'of', 'underachieving', 'cops', 'are', 'sent', 'back', 'to', 'a', 'local', 'high', 'school', 'to', 'blend', 'in', 'and', 'bring', 'down', 'a', 'synthetic', 'drug', 'ring.', 'JonahHill', 'ChanningTatum', 'IceCube', 'BrieLarson', 'PhilLord', 'ChristopherMiller']"
104,tt0266697,Kill Bill: Vol. 1,"['After', 'awakening', 'from', 'a', 'four-year', 'coma,', 'a', 'former', 'assassin', 'wreaks', 'vengeance', 'on', 'the', 'team', 'of', 'assassins', 'who', 'betrayed', 'her.', 'UmaThurman', 'DavidCarradine', 'DarylHannah', 'MichaelMadsen', 'QuentinTarantino']"
106,tt1670345,Now You See Me,"['An', 'F.B.I.', 'Agent', 'and', 'an', 'Interpol', 'Detective', 'track', 'a', 'team', 'of', 'illusionists', 'who', 'pull', 'off', 'bank', 'heists', 'during', 'their', 'performances,', 'and', 'reward', 'their', 'audiences', 'with', 'the', 'money.', 'JesseEisenberg', 'Common', 'MarkRuffalo', 'WoodyHarrelson', 'LouisLeterrier']"
