,id,title,description,director,cast,rating
21720,tt2219554,Megalomania,"Atom and Eve are consumed by their addictions in a perfect dream world. But when an anonymous stranger calls on them, a darkness begins to enter their lives. Now they can no longer differentiate reality from fantasy.",J.A. Worthington,"Willie Brown, 
Trevor Crane, 
Jason Grieco, 
Drew Moss",8.0
21861,tt1975310,Tomato Man,Tomato Man is a serial killer in a small community that starts killing unsuspecting ladies. The Mayor and Detectives are in a search for Tomato Man the problem is no knows who Tomato Man is.,Matthew W. Enstrom,"Jason Crowe, 
Matthew W. Enstrom, 
John Fairchild, 
Curtis Humble",8.6
21948,tt7159092,David,"The story revolves around the protagonist, Gautham, his love interest Shreya, and the renowned industrialist Mr. Sharma; it contains four parallel stories that are all connected by one ...                See full summary »","Yogambar Bargav, 
Shreyas Chinga","Anirudh Acharya, 
Rakesh Adiga, 
Rakshan Albert, 
Avinash",8.0
22018,tt4186182,Take 2: The Audition,"When 12 Actors embark on a journey through the woods on what they believe is a casting call for a multimillion dollar horror film, they soon find out that the cameras are rolling and they already got the role.",Rob Hawk,"Tyler Mane, 
Genoveva Rossi, 
Mark Valeriano, 
Loren W. Lepre",8.2
22088,tt8763994,Thr33,Through a series of tape recordings a young girl seeks to find out the truth behind a haunting.,Nicholas J. Hagen,Paige McKenzie,8.0
22226,tt0408209,Spook,About Canada's secret involvement in the Vietnam War.,Barry W. Levy,"Barry W. Levy, 
Peter LaCroix, 
Rachel Cronin, 
Jay Brazeau",8.1
22258,tt13475494,The Inner,"A man named Michael sets up these experiments to show the public his paranormal inner friends, but little does he know that he accidently summoned something demonic that is now among him",Elijah Butler,Elijah Butler,8.5
22263,tt2629802,Fix It in Post,A filmmaker's guide to surviving the apocalypse,Christine Parker,"Miles Snow, 
Lilly Nelson, 
Carrie Jones, 
Bill Mulligan",8.2
22359,tt15772306,Preludes/Beginnings,Whispers of the past and present come together in the darkness of the theater in this Emmy-nominated dance film performed by Ballet Austin and filmed on-site at the haunted Scottish Rite Theater.,Paul Michael Bloodgood,"Max Azaro, 
Ian J. Bethany, 
Edward Carr, 
Katherine Deuitch",8.5
22362,tt1815664,Dead Crazy,The world is in trouble. A human made infection spreads rapidly. Two people are put together and are in hiding. What is their connection apart from not being infected.,Frank Scantori,"Bonnie Adair, 
Andrew Lewis, 
Matt Houlihan, 
Wendy Cooper",8.0
22601,tt13287064,Tales of a Scorpio's Stinger,"If you hurt animals, Kiera will stop at nothing to make you pay.","Jason J Eliot, 
Trey Lindsay","Evelyn Ov, 
Jason J Eliot, 
Trey Lindsay, 
Vanessa Vander Pluym",8.3
22728,tt4890154,The Abducted,"A killer has a group of abducted girls. One escapes, then the others try as well. He has simple rules: ""If you try to escape, you die.""",Larry Rosen,"Larry Rosen, 
Carly Eden, 
Stephanie Dunbar, 
Kate Pentek",8.7
22782,tt6872670,Dark Ditties Presents 'Mrs Wiltshire',"An elderly lady Mrs. Wiltshire is trapped in her house by the evil spirit of her deceased abusive husband. Despite her son Tony's pleads to leave with him, Mrs. Wiltshire is torn between ...                See full summary »","Neil Morris, 
Gary Smart","Bruce Jones, 
Simon Bamford, 
Gemma Gordon, 
Rocky Morris",8.2
22885,tt3223174,GGG: One Night Stab,A foray into the mind of a homicidal maniac who also just happens to do stand up comedy.,Matt Frame,"Gerald Varga, 
Ashley Evans, 
Alanna Kobza, 
Shawn Bordoff",8.1
22944,tt3113632,Poltergays: Pesadija en lo profundo del recto,"In 1981, the government financed a film Melman and Oyarbide with a message in favor of the Malvinas war. Finished, the filmmakers have to go into exile in Guatemala and the film was banned. Wes Craven make i over after seeing it.",Germán Magariños,"Vic Cicuta, 
Ramon Cordero, 
Leandro De la Torre, 
Ezequiel Hansen",8.2
23000,tt2255946,Shadows,Two young women are invited to a strange party in a large country house. There they join in a game where they play undead creatures hunting for the mortal victims in their midst - but ...                See full summary »,Richard A. Becker,"Genevieve Southwick, 
Alison Wesley, 
Casey Grant, 
Robert Ready",9.0
23043,tt11252952,Undha..Ledha..?,"""Sound Kills Without Proof""",A.V. Siva Prasad,"Ankitha Muler, 
Ramakrishna",8.0
23119,tt13376140,YOLO: The Horror Movie,"In this genre bending sequel to YOLO: The Movie (2015), Edward and Jacob are confronted with life threatening threats, and dangerous dangers.",Dylan McKay,"Ben Anderson, 
Dylan McKay, 
Catherine Mortimer, 
Maddy Anderson",8.3
